index,Anime Genres,Anime Members,Anime Score
2507,"['Adventure', 'Fantasy']",442000.0,6.47
2140,"['Action', 'Adventure', 'Fantasy']",442000.0,7.85
1519,"['Adventure', 'Fantasy', 'Romance']",442000.0,7.25
2401,"['Action', 'Drama', 'Fantasy', 'Supernatural']",437000.0,7.18
2892,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'SciFi']",434000.0,7.55
1653,"['Comedy', 'Romance']",432000.0,7.06
1083,"['Action', 'SciFi']",431000.0,7.55
754,"['Action', 'Romance', 'Supernatural']",430000.0,7.19
2508,['SliceofLife'],429000.0,8.27
2893,"['Comedy', 'Fantasy', 'Ecchi']",426000.0,7.45
1556,"['Comedy', 'Romance', 'Supernatural']",426000.0,7.18
1190,"['Drama', 'SliceofLife', 'Sports']",423000.0,8.19
1739,"['Comedy', 'SciFi', 'Supernatural']",423000.0,7.03
1520,['SliceofLife'],422000.0,7.41
2932,"['Action', 'Mystery', 'Supernatural', 'Ecchi']",422000.0,7.00
2295,"['Comedy', 'Supernatural']",421000.0,7.46
2933,"['Drama', 'Romance', 'Supernatural']",421000.0,8.56
935,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",420000.0,7.34
2141,['SliceofLife'],419000.0,7.85
2092,"['Comedy', 'Gourmet']",418000.0,6.61
1931,['Drama'],417000.0,8.00
478,"['Adventure', 'Drama', 'Romance', 'SciFi']",416000.0,8.06
1225,"['Drama', 'Romance', 'SliceofLife']",416000.0,7.99
2622,['Comedy'],415000.0,8.19
1654,"['Comedy', 'Drama']",415000.0,8.29
1980,"['Horror', 'Mystery', 'SliceofLife']",414000.0,7.62
1557,"['Comedy', 'Romance']",413000.0,6.95
2026,"['Comedy', 'Romance']",410000.0,7.00
1138,['Comedy'],410000.0,7.66
1022,"['Adventure', 'Fantasy', 'Mystery', 'Supernatural']",409000.0,7.67
2340,"['Action', 'Adventure', 'Fantasy']",407000.0,7.06
1298,"['Action', 'Drama', 'Mystery', 'SciFi']",405000.0,7.57
2243,"['Action', 'Drama', 'Fantasy', 'Mystery']",403000.0,8.40
1139,"['Comedy', 'Mystery', 'Romance']",402000.0,8.57
2196,['Comedy'],402000.0,7.58
2673,"['Comedy', 'Romance']",401000.0,7.33
1791,"['Comedy', 'Mystery', 'Supernatural']",399000.0,7.94
2142,"['Comedy', 'Fantasy', 'Romance', 'SciFi', 'Supernatural', 'Ecchi']",399000.0,7.01
2984,"['Comedy', 'Ecchi']",394000.0,7.01
2244,"['Action', 'Comedy', 'Fantasy', 'Supernatural']",393000.0,7.81
827,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",393000.0,6.91
1483,['SliceofLife'],393000.0,7.94
960,"['Action', 'Mystery', 'SciFi']",392000.0,7.44
1376,"['Adventure', 'Fantasy', 'Romance', 'Ecchi']",391000.0,7.45
