,Name,Gender,Born in,Birth,Death,Age,Movies/Series
336,Alfre Woodard,F,"Tulsa, Oklahoma, USA",8/11/1952,Alive,69.0,129
337,Patton Oswalt,M,"Portsmouth, Virginia, USA",27/1/1969,Alive,53.0,233
338,Zoe Margaret Colletti,F,United States,27/11/2001,Alive,20.0,19
339,Elvis Presley,M,"Tupelo, Mississippi, USA",8/1/1935,16/8/1977,42.0,31
340,Vincent D'Onofrio,M,"Brooklyn, New York City, New York, USA",30/6/1959,Alive,63.0,115
341,Lili Simmons,F,"San Diego, California, USA",23/7/1993,Alive,29.0,25
342,Benedict Cumberbatch,M,"Hammersmith, London, England, UK",19/7/1976,Alive,46.0,91
343,Julianne Hough,F,"Salt Lake City, Utah, USA",20/7/1988,Alive,34.0,19
344,Rose Byrne,F,"Balmain, Sydney, New South Wales, Australia",24/7/1979,Alive,43.0,79
345,Natalie Dormer,F,"Reading, Berkshire, England, UK",11/2/1982,Alive,40.0,40
346,Carrie Coon,F,"Copley, Ohio, USA",24/1/1981,Alive,41.0,25
347,Pablo Schreiber,M,"Ymir, British Columbia, Canada",26/4/1978,Alive,44.0,65
348,Jennifer Love Hewitt,F,"Waco, Texas, USA",21/2/1979,Alive,43.0,64
349,Cate Blanchett,F,"Melbourne, Victoria, Australia",14/5/1969,Alive,53.0,92
350,Amrita Acharia,F,"Kathmandu, Nepal",31/7/1987,Alive,35.0,27
351,David Warner,M,"Manchester, England, UK",29/7/1941,24/7/2022,80.0,228
352,Rhiannon Fish,F,"Calgary, Alberta, Canada",14/3/1991,Alive,31.0,18
353,Joel Edgerton,M,"Blacktown, New South Wales, Australia",23/6/1974,Alive,48.0,82
354,Rosamund Pike,F,"Hammersmith, London, England, UK",__/1/1979,Alive,43.0,58
355,Christina Ricci,F,"Santa Monica, California, USA",12/2/1980,Alive,42.0,89
356,Angelina Jolie,F,"Los Angeles, California, USA",4/6/1975,Alive,47.0,64
357,Kate Mara,F,"Bedford, New York, USA",27/2/1983,Alive,39.0,70
358,Emma D'Arcy,F,,,,,11
359,Nicole Kidman,F,"Honolulu, Hawaii, USA",20/6/1967,Alive,55.0,95
360,Rosa Salazar,F,"Washington D.C., USA",16/7/1985,Alive,37.0,49
361,Ariel Winter,F,"Los Angeles, California, USA",28/1/1998,Alive,24.0,81
362,Jemaine Clement,M,"Masterton, New Zealand",10/1/1974,Alive,48.0,69
363,Oliver Jackson-Cohen,M,"Westminster, London, England, UK",24/10/1986,Alive,35.0,27
364,Taylor Sheridan,M,"Cranfills Gap, Bosque, Texas, USA",17/7/1969,Alive,53.0,24
365,Anna Chlumsky,F,"Chicago, Illinois, USA",3/12/1980,Alive,41.0,45
366,Rebecca Romijn,F,"Berkeley, California, USA",6/11/1972,Alive,49.0,60
367,Joaquin Phoenix,M,"San Juan, Puerto Rico",28/10/1974,Alive,47.0,56
368,Brie Larson,F,"Sacramento, California, USA",1/10/1989,Alive,32.0,71
369,Russell Crowe,M,"Wellington, New Zealand",7/4/1964,Alive,58.0,74
370,Zac Efron,M,"San Luis Obispo, California, USA",18/10/1987,Alive,34.0,67
371,Zoe Saldana,F,"Passaic, New Jersey, USA",19/6/1978,Alive,44.0,77
372,Vera Farmiga,F,"Clifton, New Jersey, USA",6/8/1973,Alive,49.0,64
373,Zibby Allen,F,"Los Angeles, California, USA",29/9/1980,Alive,41.0,41
374,Lynn Collins,F,"Houston, Texas, USA",16/5/1977,Alive,45.0,49
375,Maria Bakalova,F,"Burgas, Bulgaria",4/6/1996,Alive,26.0,19
376,Sebastian Stan,M,"Constanta, Romania",13/8/1982,Alive,39.0,51
377,Georgina Haig,F,"Melbourne, Victoria, Australia",3/8/1985,Alive,37.0,31
378,Kathryn Newton,F,"Orlando, Florida, USA",8/2/1997,Alive,25.0,26
379,Mark Jackson,M,,,,,8
380,Tony Dow,M,"Hollywood, Los Angeles, California, USA",13/4/1945,27/7/2022,77.0,39
381,Thandiwe Newton,F,"Westminster, London, England, UK",6/11/1972,Alive,49.0,49
